codigo,nombre_producto,tipo_envase,destino,posibles_lineas_produccion
4-03-0000-1211,SEMITERMINADO RON VIEJO DE CALDAS 8 AÑOS 700 VIDRIO 40° NP,700CV-8,SEMITERMINADO,4
4-03-0000-1213,SEMITERMINADO RON VIEJO DE CALDAS 3 AÑOS 375 VIDRIO 40° NP,375NI,SEMITERMINADO,3
4-03-0000-1214,SEMITERMINADO RON VIEJO DE CALDAS 5 AÑOS 375 VIDRIO 40° NP,375NI,SEMITERMINADO,3
4-03-0173-0131,RON VIEJO DE CALDAS TRADICIONAL 375 VIDRIO 35°,375NI,ZONA 3,3
4-03-0173-0132,RON VIEJO DE CALDAS TRADICIONAL 750 VIDRIO 35°,750NI,ZONA 3,2
4-03-0692-1289,RON VIEJO DE CALDAS 5 AÑOS 700 VIDRIO 40° NP,700NI,NUEVA ZELANDA,2
4-03-6760-1188,RON VIEJO DE CALDAS 3 AÑOS 700 VIDRIO 40° NP,700NI,AUSTRIA,2
4-03-6760-1189,RON VIEJO DE CALDAS 5 AÑOS 700 VIDRIO 40° NP,700NI,AUSTRIA,2
4-03-6760-1190,RON VIEJO DE CALDAS 15 GRAN RESERVA ESPECIAL 700 VID 40° NP,700NI,AUSTRIA,2
4-03-6760-1191,RON VIEJO DE CALDAS ROBLE BLANCO 700 VIDRIO 40° NP,700NI,AUSTRIA,2
4-01-5805-1080,AGUARDIENTE CRISTAL TRADICIONAL 375 VIDRIO 30°,750R,PANAMA,1
4-03-0777-0019,RON VIEJO DE CALDAS TRADICIONAL 375 VIDRIO 35°,375NI,UNIVERSAL,3
4-03-0777-0940,RON VIEJO DE CALDAS 8 CARTA DE ORO 750 VIDRIO 35°,750CV-8,UNIVERSAL,4
4-03-0777-0941,RON VIEJO DE CALDAS 8 CARTA DE ORO 375 VIDRIO 35°,375CV-8,UNIVERSAL,4
4-03-0777-1104,RON VIEJO DE CALDAS 15 GRAN RESERVA ESPECIAL 750 VIDRIO 35NP,750CV-15,UNIVERSAL,4
4-03-0772-0932,RON VIEJO DE CALDAS 5 JUAN DE LA CRUZ 375 VIDRIO 35°,375NI,UNIVERSAL,1
4-03-0772-0928,RON VIEJO DE CALDAS TRADICIONAL 375 VIDRIO 35°,375NI,UNIVERSAL,3
4-03-0772-0929,RON VIEJO DE CALDAS TRADICIONAL 750 VIDRIO 35°,750NI,UNIVERSAL,2
4-03-0777-0022,RON VIEJO DE CALDAS TRADICIONAL 750 VIDRIO 35°,750NI,UNIVERSAL,2
